"team1_name","team1_score","team2_name","team2_score","location","nOT","game_length"
"San Antonio Spurs",87,"Los Angeles Lakers",82,"Los Angeles",0,48
"Orlando Magic",95,"Philadelphia 76ers",88,"Orlando",0,48
"Sacramento Kings",94,"Cleveland Cavaliers",67,"Sacramento",0,48
"Chicago Bulls",99,"Boston Celtics",96,"Boston",0,48
"Detroit Pistons",86,"New York Knicks",77,"Detroit",0,48
"Golden State Warriors",106,"San Antonio Spurs",98,"Golden State",0,48
"Indiana Pacers",91,"Houston Rockets",82,"Indiana",0,48
"Cleveland Cavaliers",98,"Los Angeles Clippers",96,"Los Angeles",0,48
"Dallas Mavericks",119,"Memphis Grizzlies",108,"Memphis",0,48
"Orlando Magic",100,"Miami Heat",86,"Miami",0,48
"Minnesota Timberwolves",83,"Denver Nuggets",77,"Minnesota",0,48
"New Jersey Nets",105,"Atlanta Hawks",94,"New Jersey",0,48
"New Orleans Hornets",100,"Utah Jazz",75,"New Orleans",0,48
"Philadelphia 76ers",95,"Milwaukee Bucks",93,"Philadelphia",0,48
"Portland Trail Blazers",102,"Los Angeles Lakers",90,"Portland",0,48
"Seattle Supersonics",86,"Phoenix Suns",73,"Seattle",0,48
"Toronto Raptors",74,"Washington Wizards",68,"Toronto",0,48
"Atlanta Hawks",105,"Utah Jazz",98,"Atlanta",0,48
"Sacramento Kings",100,"Portland Trail Blazers",72,"Sacramento",0,48
"Washington Wizards",114,"Boston Celtics",69,"Washington",0,48
"Chicago Bulls",84,"New Orleans Hornets",79,"Chicago",0,48
"Houston Rockets",83,"Denver Nuggets",74,"Denver",0,48
"Detroit Pistons",109,"Memphis Grizzlies",86,"Detroit",0,48
"Seattle Supersonics",106,"Golden State Warriors",93,"Golden State",0,48
"Los Angeles Lakers",108,"Los Angeles Clippers",93,"Los Angeles",0,48
"Minnesota Timberwolves",111,"Orlando Magic",105,"Minnesota",0,48
"New Jersey Nets",102,"Indiana Pacers",91,"New Jersey",0,48
"Philadelphia 76ers",98,"New York Knicks",86,"Philadelphia",0,48
"Phoenix Suns",78,"Cleveland Cavaliers",74,"Phoenix",0,48
"San Antonio Spurs",91,"Toronto Raptors",72,"San Antonio",0,48
"Atlanta Hawks",98,"Chicago Bulls",92,"Atlanta",0,48
"Dallas Mavericks",97,"Phoenix Suns",83,"Dallas",0,48
"Houston Rockets",88,"Toronto Raptors",76,"Houston",0,48
"Indiana Pacers",87,"Minnesota Timberwolves",80,"Indiana",0,48
"Sacramento Kings",116,"Memphis Grizzlies",99,"Memphis",0,48
"Orlando Magic",100,"Milwaukee Bucks",90,"Milwaukee",0,48
"New Orleans Hornets",100,"Miami Heat",95,"New Orleans",0,48
"Boston Celtics",117,"New York Knicks",107,"New York",0,48
"Denver Nuggets",96,"Portland Trail Blazers",79,"Portland",0,48
"Utah Jazz",101,"Golden State Warriors",92,"Utah",0,48
"New Jersey Nets",87,"Washington Wizards",79,"Washington",0,48
"Los Angeles Clippers",74,"Detroit Pistons",72,"Los Angeles",0,48
"Los Angeles Lakers",98,"Portland Trail Blazers",95,"Los Angeles",1,53
"Miami Heat",88,"Sacramento Kings",78,"Miami",0,48
"Seattle Supersonics",91,"Utah Jazz",77,"Seattle",0,48
"Dallas Mavericks",107,"Golden State Warriors",100,"Dallas",0,48
"San Antonio Spurs",103,"Memphis Grizzlies",101,"Memphis",1,53
"New Jersey Nets",106,"Minnesota Timberwolves",82,"New Jersey",0,48
"Milwaukee Bucks",97,"New York Knicks",88,"New York",0,48
"Detroit Pistons",84,"Phoenix Suns",82,"Phoenix",0,48
"Toronto Raptors",109,"Chicago Bulls",105,"Toronto",1,53
"Cleveland Cavaliers",89,"Los Angeles Lakers",70,"Cleveland",0,48
"Atlanta Hawks",103,"Denver Nuggets",87,"Denver",0,48
"Seattle Supersonics",104,"Houston Rockets",97,"Houston",0,48
"Indiana Pacers",83,"Miami Heat",79,"Miami",0,48
"Minnesota Timberwolves",90,"Washington Wizards",86,"Minnesota",0,48
"Orlando Magic",125,"Sacramento Kings",121,"Orlando",0,48
"San Antonio Spurs",93,"Golden State Warriors",73,"San Antonio",0,48
"Boston Celtics",91,"Chicago Bulls",69,"Chicago",0,48
"Milwaukee Bucks",99,"New Jersey Nets",93,"Milwaukee",0,48
"New Orleans Hornets",86,"Seattle Supersonics",84,"New Orleans",0,48
"New York Knicks",95,"Sacramento Kings",88,"New York",0,48
"Philadelphia 76ers",101,"Los Angeles Clippers",99,"Philadelphia",1,53
"Phoenix Suns",93,"Atlanta Hawks",88,"Phoenix",0,48
"Portland Trail Blazers",94,"Memphis Grizzlies",88,"Portland",0,48
"Dallas Mavericks",106,"Toronto Raptors",92,"Toronto",0,48
"Detroit Pistons",80,"Utah Jazz",78,"Utah",0,48
"Washington Wizards",107,"Cleveland Cavaliers",100,"Washington",0,48
"Boston Celtics",98,"Los Angeles Lakers",95,"Boston",1,53
"Detroit Pistons",89,"Denver Nuggets",63,"Denver",0,48
"Minnesota Timberwolves",114,"Milwaukee Bucks",110,"Minnesota",0,48
"Dallas Mavericks",114,"Chicago Bulls",87,"Chicago",0,48
"Indiana Pacers",107,"New York Knicks",94,"Indiana",0,48
"New Jersey Nets",106,"Los Angeles Clippers",92,"New Jersey",0,48
"New Orleans Hornets",110,"Golden State Warriors",104,"New Orleans",0,48
"Orlando Magic",105,"Seattle Supersonics",98,"Orlando",0,48
"Philadelphia 76ers",108,"Cleveland Cavaliers",84,"Philadelphia",0,48
"Phoenix Suns",86,"Portland Trail Blazers",75,"Phoenix",0,48
"Sacramento Kings",99,"Memphis Grizzlies",91,"Sacramento",0,48
"Utah Jazz",110,"Atlanta Hawks",97,"Utah",0,48
"Washington Wizards",100,"Los Angeles Lakers",99,"Washington",0,48
"Chicago Bulls",100,"New Jersey Nets",93,"Chicago",0,48
"Washington Wizards",93,"Cleveland Cavaliers",79,"Cleveland",0,48
"Dallas Mavericks",114,"Detroit Pistons",75,"Dallas",0,48
"Denver Nuggets",84,"Memphis Grizzlies",73,"Denver",0,48
"Houston Rockets",111,"Golden State Warriors",104,"Houston",0,48
"Indiana Pacers",108,"Toronto Raptors",84,"Indiana",0,48
"Seattle Supersonics",84,"Miami Heat",82,"Miami",0,48
"Milwaukee Bucks",110,"Philadelphia 76ers",105,"Milwaukee",1,53
"Boston Celtics",105,"Minnesota Timberwolves",99,"Minnesota",0,48
"Portland Trail Blazers",95,"San Antonio Spurs",76,"San Antonio",0,48
"New Orleans Hornets",97,"New York Knicks",91,"New York",1,53
"Los Angeles Clippers",120,"Orlando Magic",117,"Orlando",0,48
"Sacramento Kings",105,"Atlanta Hawks",97,"Sacramento",0,48
"Boston Celtics",112,"Utah Jazz",95,"Boston",0,48
"Dallas Mavericks",82,"Portland Trail Blazers",73,"Dallas",0,48
"Golden State Warriors",108,"Memphis Grizzlies",101,"Memphis",0,48
"San Antonio Spurs",91,"Minnesota Timberwolves",75,"San Antonio",0,48
"Detroit Pistons",93,"New Orleans Hornets",87,"Detroit",0,48
"Houston Rockets",86,"Portland Trail Blazers",83,"Houston",0,48
"Indiana Pacers",95,"Cleveland Cavaliers",75,"Indiana",0,48
"Atlanta Hawks",95,"Los Angeles Lakers",83,"Los Angeles",0,48
"Los Angeles Clippers",101,"Miami Heat",82,"Miami",0,48
"Utah Jazz",108,"New York Knicks",87,"New York",0,48
"Toronto Raptors",115,"Orlando Magic",109,"Orlando",0,48
"Seattle Supersonics",101,"Washington Wizards",95,"Washington",0,48
"Boston Celtics",91,"Philadelphia 76ers",81,"Boston",0,48
"Dallas Mavericks",103,"Cleveland Cavaliers",99,"Cleveland",0,48
"Phoenix Suns",75,"Denver Nuggets",72,"Denver",0,48
"Sacramento Kings",104,"Golden State Warriors",93,"Golden State",0,48
"Milwaukee Bucks",108,"Chicago Bulls",101,"Milwaukee",0,48
"New Jersey Nets",91,"San Antonio Spurs",82,"New Jersey",0,48
"New Orleans Hornets",102,"Minnesota Timberwolves",98,"New Orleans",0,48
"Orlando Magic",101,"Los Angeles Clippers",80,"Los Angeles",0,48
"Philadelphia 76ers",99,"San Antonio Spurs",94,"Philadelphia",0,48
"Washington Wizards",105,"Utah Jazz",102,"Washington",0,48
"Dallas Mavericks",97,"Boston Celtics",86,"Boston",0,48
"Detroit Pistons",86,"Utah Jazz",75,"Detroit",0,48
"Indiana Pacers",103,"Milwaukee Bucks",100,"Indiana",1,53
"Los Angeles Lakers",96,"Golden State Warriors",89,"Los Angeles",1,53
"Minnesota Timberwolves",99,"Memphis Grizzlies",95,"Memphis",0,48
"New Jersey Nets",93,"Miami Heat",84,"Miami",0,48
"New Orleans Hornets",105,"Chicago Bulls",87,"New Orleans",0,48
"Phoenix Suns",88,"Houston Rockets",87,"Phoenix",0,48
"Portland Trail Blazers",112,"Los Angeles Clippers",88,"Portland",0,48
"Seattle Supersonics",111,"Sacramento Kings",97,"Seattle",0,48
"Toronto Raptors",84,"Denver Nuggets",79,"Toronto",0,48
"Atlanta Hawks",89,"New Orleans Hornets",82,"Atlanta",0,48
"Chicago Bulls",111,"Memphis Grizzlies",93,"Chicago",0,48
"San Antonio Spurs",90,"Cleveland Cavaliers",77,"Cleveland",0,48
"Detroit Pistons",74,"Denver Nuggets",53,"Detroit",0,48
